"DisplayName","UserPrincipalName","Mail","IsLicensed"
"BulkA_Gui","bulka@m365endpoint.onmicrosoft.com",,
"BulkA PS","bulkasp@m365endpoint.onmicrosoft.com",,
"BulkB_Gui","bulkb@m365endpoint.onmicrosoft.com",,
"BulkB PS","bulkbsp@m365endpoint.onmicrosoft.com",,
"BulkC_Gui","bulkc@m365endpoint.onmicrosoft.com",,
"BulkC PS","bulkcsp@m365endpoint.onmicrosoft.com",,
"Harley Davidson","dharley@m365endpoint.onmicrosoft.com",,
"Yamaha Drugster","dyamaha@m365endpoint.onmicrosoft.com","dyamaha@m365endpoint.onmicrosoft.com",
"Kawasaki Eliminator","ekawasaki@m365endpoint.onmicrosoft.com","ekawasaki@m365endpoint.onmicrosoft.com",
"Suzuki GSX","m1227itsue_yahoo.co.jp#EXT#@m365endpoint.onmicrosoft.com","m1227itsue@yahoo.co.jp",
"城所 美津江","mit8@m365endpoint.onmicrosoft.com","mit8@m365endpoint.onmicrosoft.com",
"Honda SuperFour","shonda@m365endpoint.onmicrosoft.com",,
